candidate_gene,sentence_count,unique_pmids,top_traits,top_journals,pmids
TN1,32,28,,PloS one; Insects; International journal of molecular sciences; Frontiers in plant science; Frontiers in physiology,20609275;21655219;23228240;23434671;24911169;26211618;26313963;27990147;28652621;28973571;29321899;30551584;31072035;31226788;31468345;32532001;32853293;32903256;33041873;34680617
Bph3,16,15,,"Rice (New York, N.Y.); Viruses; International journal of molecular sciences; BMC plant biology; Plant biotechnology journal",22083132;24280452;27246014;28973571;29503500;30486776;31086482;31165331;31226788;32074964;34960733;35458398;35576158;37752622;39558244
Bph14,15,14,,"Pest management science; Rice (New York, N.Y.); Breeding science; Plant communications; International journal of molecular sciences",20018701;21254325;24273431;26403182;27704482;27933072;30486776;31915875;32418333;33201594;36987076;37569437;39397365;39964588
Bph15,10,10,,"Frontiers in plant science; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik; Pest management science; Plants (Basel, Switzerland); Plant physiology",15549231;21254325;23589438;24033867;27704482;27933072;31915875;36755501;36987076;38023936
Bph1,13,9,,PloS one; Frontiers in genetics; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik; International journal of molecular sciences; Scientific reports,15032948;18553105;18612237;24911169;31226788;31575938;31915875;32853293;35719377
Xa21,7,6,,"Rice (New York, N.Y.); International journal of molecular sciences; Plant physiology; Plant communications",25844112;32074964;32472217;32825202;35576158;36755501
Xa23,6,6,,"Plant communications; Rice (New York, N.Y.); Plant physiology; Pest management science",31165331;31915945;33201594;35576158;36755501;39397365
P450,6,5,,"PloS one; Plants (Basel, Switzerland); Insect molecular biology; Bulletin of entomological research; Archives of insect biochemistry and physiology",15898115;20609275;28543984;32903256;35956485
BPH29,6,5,,Journal of experimental botany; Plant communications; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik; Frontiers in genetics,26136269;29373714;31850073;32040676;35576158
H2O2,5,5,,"Frontiers in plant science; Nature communications; Plants (Basel, Switzerland); Plant signaling & behavior",27031005;29104585;33182659;38023936;38167823
Pi9,5,5,,"Plant communications; Plants (Basel, Switzerland); Pest management science; Rice (New York, N.Y.); TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik",31915875;33201594;34494175;36987076;39397365
BPH14,5,5,,Frontiers in plant science; PeerJ; The Plant cell; BMC genomics,27025496;29093216;32211240;37615020;37731986
bph2,5,5,,PloS one; International journal of molecular sciences; Journal of insect science (Online); Environmental entomology; Yi chuan xue bao = Acta genetica Sinica,16939006;26313963;28973571;31226788;32853293
CO2,6,4,,"Proceedings of the National Academy of Sciences, India. Section B; Biology; Scientific reports; Planta",27334025;29568154;33903626;35741403
OsWRKY45,5,4,,International journal of molecular sciences; Frontiers in plant science; Insects; The plant pathology journal,27258255;30140180;33076419;35126405
IR62,5,4,,"Insects; Field crops research; Crop protection (Guildford, Surrey)",29503500;30393420;34680617;34680677
Cry1C,4,4,,Scientific reports; Plant communications; Pest management science,27444416;33009432;33201594;39397365
OsMYB30,4,4,,Genes; BMC plant biology; Horticulture research; International journal of molecular sciences,34502463;35448951;35591925;38136950
OsPAL6,4,4,,BMC plant biology; Horticulture research; International journal of molecular sciences; Scientific reports,32184449;34502463;35448951;35591925
OsPAL8,4,4,,BMC plant biology; Horticulture research; Plant biotechnology journal; Scientific reports,32184449;34651397;35448951;35591925
ASD7,4,4,,Insects; International journal of molecular sciences; Journal of insect science (Online); Environmental entomology,26313963;28973571;31226788;34680617
Cry1Ab,4,4,,Scientific reports; Frontiers in plant science; PloS one; Transgenic research,21688166;24312218;26734057;27444416
IR22,5,3,,Insects; Field crops research; Frontiers in plant science,29503500;33643348;34680617
OsNCED3,4,3,,Frontiers in plant science; BMC genomics,36064309;38988632;39640997
IR56,4,3,,"International journal of molecular sciences; Plants (Basel, Switzerland)",30551584;31226788;37653845
Bph9,4,3,,Frontiers in plant science; Frontiers in genetics; Yi chuan xue bao = Acta genetica Sinica,16553215;28638401;35899197
Cry1Ac,4,3,,Scientific reports; Plant biotechnology journal,28512299;29855556;34416790
xa5,4,3,,"Rice (New York, N.Y.); International journal of molecular sciences",25844112;32074964;32472217
Bph6,4,3,,Frontiers in plant science; BMC genomics; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,20680611;28638401;31159719
BPH9,3,3,,International journal of molecular sciences; Plant communications; Journal of plant physiology,35462224;39397365;40004225
OsLecRK1,3,3,,Plant communications; Pest management science; Journal of experimental botany,32270203;33201594;39397365
snpOS00486,3,3,,"PloS one; Plants (Basel, Switzerland); Frontiers in genetics",35567151;35899197;38241319
OsGRF8,3,3,,The Plant cell; International journal of molecular sciences; Journal of experimental botany,34283216;37176028;38701348
OsPep3,3,3,,"International journal of molecular sciences; Plants (Basel, Switzerland)",35328511;37373546;37571010
Cas9,3,3,,International journal of biological macromolecules; Insect science; Viruses,34696530;36528849;37119891
OsPAL,3,3,,"Plants (Basel, Switzerland); Frontiers in plant science; International journal of molecular sciences",34502463;36212323;37896049
MH63,3,3,,Genes; Ying yong sheng tai xue bao = The journal of applied ecology; Pest management science,21254325;25796912;37239430
CYP71A1,3,3,,"Plants (Basel, Switzerland); iScience; Frontiers in plant science",30233630;32891884;35956485
CYP6ER1,3,3,,Scientific reports; International journal of molecular sciences,27721443;29545538;36012694
PTB33,3,3,,Breeding science; Insects; BMC plant biology,18854007;34680617;35087314
Bph18,3,3,,PloS one; Molecular genetics and genomics : MGG; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,16240104;29974251;32853293
ADR52,5,2,,Scientific reports; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,22048639;25076167
OsWRKY71,4,2,,Frontiers in plant science; Nature communications,38023936;38167823
BPH26,4,2,,Scientific reports; PloS one,25076167;32853293
cry1C,4,2,,Scientific reports; Ying yong sheng tai xue bao = The journal of applied ecology,25796912;27444416
miR-263a,3,2,,PLoS pathogens; The EMBO journal,35797383;40045022
miR156,3,2,,Planta; BMC plant biology,29934776;37807039
Bph29,3,2,,"Genes; Rice (New York, N.Y.)",31165331;37239430
BPH18,3,2,,Scientific reports,27682162;27834403
beta2-tubulin,2,2,,International journal of biological macromolecules; Journal of advanced research,39674487;39674500
OsHPL3,2,2,,"Plants (Basel, Switzerland); The Plant journal : for cell and molecular biology",22519706;38891303
OsJMJ715,2,2,,Plant communications; International journal of molecular sciences,34884830;39245936
endo-beta-1,2,2,,Journal of integrative plant biology; Plant direct,32818166;39171839
snpOS00006,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00024,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00038,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00054,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00061,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00396,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00397,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00409,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00410,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00411,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00430,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00442,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00445,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00451,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00466,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00467,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00468,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00478,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
snpOS00493,2,2,,"PloS one; Plants (Basel, Switzerland)",35567151;38241319
OsLOX1,2,2,,"Plants (Basel, Switzerland); Genes",37895306;38891303
PinK3,2,2,,"Foods (Basel, Switzerland); Rice (New York, N.Y.)",25844112;39594043
BPH15,2,2,,Frontiers in plant science,37615020;37731986
OsLecRK1-OsLecRK3,2,2,,Plant biotechnology journal; Frontiers in plant science,34276723;37752622
bph42,2,2,,Frontiers in plant science; Molecular biology reports,35764746;38078098
Pi2,2,2,,Plant physiology; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,31915875;36755501
OsPALs,2,2,,"International journal of molecular sciences; Plants (Basel, Switzerland)",36501278;37108219
BPH12,2,2,,Frontiers in plant science; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,22038433;37731986
BPH6,2,2,,Frontiers in plant science; TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,22038433;37731986
R2R3,2,2,,Frontiers in plant science; Proceedings of the National Academy of Sciences of the United States of America,31848246;36212323
Bph2,2,2,,Frontiers in genetics; Hereditas,15032948;35719377
OsLecRK3,2,2,,Plant biotechnology journal; Journal of experimental botany,32270203;35218297
xa13,2,2,,"Plant communications; Rice (New York, N.Y.)",32472217;35576158
Ca2,2,2,,Frontiers in plant science; Frontiers in microbiology,34025616;35295635
miR396,2,2,,Journal of experimental botany; Plant biotechnology journal,30734457;34283216
Cry2A,2,2,,Plant biotechnology journal; Scientific reports,27444416;34416790
FoxL2,2,2,,Biology; Open biology,28615473;34571744
FoxN1,2,2,,Biology; International journal of molecular sciences,32545786;34571744
BPH3,2,2,,"Insects; Crop protection (Guildford, Surrey)",30393420;34680677
BPH32,2,2,,"Insects; Crop protection (Guildford, Surrey)",30393420;34680677
BPH25,2,2,,PloS one; Scientific reports,25076167;32853293
Xa4,2,2,,"Rice (New York, N.Y.)",25844112;32472217
qBL1,2,2,,"International journal of molecular sciences; Rice (New York, N.Y.)",25844112;32074964
qBL11,2,2,,"International journal of molecular sciences; Rice (New York, N.Y.)",25844112;32074964
Bph27,2,2,,"Rice (New York, N.Y.)",27246014;31165331
T1C-19,2,2,,Scientific reports; Ying yong sheng tai xue bao = The journal of applied ecology,25796912;27444416
KMD2,2,2,,Frontiers in plant science; Transgenic research,21688166;26734057
CRY1C,3,1,,Genes,37239430
OsGID1,3,1,,International journal of molecular sciences,30217023
Bph32,3,1,,Scientific reports,27876888
ha-1,2,1,,Plant communications,39397365
cis-3-hexen-1-ol,2,1,,"Plants (Basel, Switzerland)",38891303
OsMYB1,2,1,,Plant cell reports,39724382
Bph15-mediated,2,1,,Frontiers in plant science,38023936
CH121TJH,2,1,,Genes,37239430
CRY2A,2,1,,Genes,37239430
R205XTJH,2,1,,Genes,37239430
OsHDZIP,2,1,,"Bioengineering (Basel, Switzerland)",36004924
LOC_Os04g27430,2,1,,"Plants (Basel, Switzerland)",34067367
OsSTPS2,2,1,,"Plants (Basel, Switzerland)",34067367
HP21,2,1,,PloS one,32903256
OsSLR1,2,1,,"Plant, cell & environment",28666057
IR64,2,1,,International journal of molecular sciences,23434671
OsCOI1,2,1,,PloS one,22558386
OsARF6,1,1,,International journal of biological macromolecules,39674487
OsIAA7,1,1,,International journal of biological macromolecules,39674487
Os03g10930.2,1,1,,Cells,40214427
OsRPL15,1,1,,Cells,40214427
OsRPL18a,1,1,,Cells,40214427
OsRPL22,1,1,,Cells,40214427
OsRPL36.2,1,1,,Cells,40214427
OsRPL38,1,1,,Cells,40214427
OsRPL51,1,1,,Cells,40214427
OsRPS25a,1,1,,Cells,40214427
OsRPS5,1,1,,Cells,40214427
OsRPS5a,1,1,,Cells,40214427
OsRPS9.2,1,1,,Cells,40214427
eL15,1,1,,Cells,40214427
eL36,1,1,,Cells,40214427
eL38,1,1,,Cells,40214427
eS25,1,1,,Cells,40214427
el20,1,1,,Cells,40214427
uL22,1,1,,Cells,40214427
uS4,1,1,,Cells,40214427
uS7y,1,1,,Cells,40214427
uS7z,1,1,,Cells,40214427
H23,1,1,,International journal of molecular sciences,40004225
NkChit2b-1,1,1,,Advanced biotechnology,40257666
AtEBF1,1,1,,Nature communications,40251159
AtEBF2,1,1,,Nature communications,40251159
OsEBF1,1,1,,Nature communications,40251159
OsEBF2,1,1,,Nature communications,40251159
FJ10,1,1,,Proceedings of the National Academy of Sciences of the United States of America,39693337
JAZ10,1,1,,Proceedings of the National Academy of Sciences of the United States of America,39693337
miR162a,1,1,,International journal of molecular sciences,38256227
OsPLDa4,1,1,,"Plants (Basel, Switzerland)",38891303
OsEXPA10,1,1,,The Plant journal : for cell and molecular biology,39590921
EBR1,1,1,,Plant communications,39245936
OsATL32,1,1,,Plant communications,39245936
OsCERK1-interacting-E3,1,1,,Plant communications,39245936
OsCIE1,1,1,,Plant communications,39245936
OsPUB15,1,1,,Plant communications,39245936
SPL11,1,1,,Plant communications,39245936
CuCl2,1,1,,"Rice (New York, N.Y.)",38430431
OsLRR2,1,1,,Nature food,39251763
OsSPL14,1,1,,Plant cell reports,39724382
OsBURP02,1,1,,Scientific reports,38310172
OsBURP07,1,1,,Scientific reports,38310172
OsPAO6,1,1,,The Plant journal : for cell and molecular biology,39432737
B73,1,1,,Plant biotechnology journal,39145425
MYC2,1,1,,Plant biotechnology journal,39145425
Mo17,1,1,,Plant biotechnology journal,39145425
ZmMYC2s,1,1,,Plant biotechnology journal,39145425
OsClpP6,1,1,,International journal of molecular sciences,39408744
snpOS00398,1,1,,PloS one,38241319
snpOS00403,1,1,,PloS one,38241319
snpOS00459,1,1,,PloS one,38241319
OsRCI-1,1,1,,"Plants (Basel, Switzerland)",38891303
OsmiR319-OsPCF5,1,1,,BMC biology,38520013
OsGRF6,1,1,,The Plant cell,38701348
OsGRF7,1,1,,The Plant cell,38701348
OsGRF9,1,1,,The Plant cell,38701348
OsMYB22,1,1,,BMC biology,38520013
OsMYB30C,1,1,,BMC biology,38520013
OsPCF5,1,1,,BMC biology,38520013
OsmiR319,1,1,,BMC biology,38520013
OsmiR319b,1,1,,BMC biology,38520013
s12915-024-01868-3.The,1,1,,BMC biology,38520013
YHY15,1,1,,Biodesign research,38435807
OsLIS,1,1,,Frontiers in plant science,38933460
ddH2O,1,1,,Insects,38392507
OsTPS31,1,1,,Pest management science,36637212
NlugGr23a,1,1,,International journal of biological macromolecules,37119891
CH121,1,1,,Genes,37239430
NBR1,1,1,,Frontiers in microbiology,37187544
C815S,1,1,,"Plants (Basel, Switzerland)",36987076
Pi47,1,1,,"Plants (Basel, Switzerland)",36987076
Pi48,1,1,,"Plants (Basel, Switzerland)",36987076
Pi49,1,1,,"Plants (Basel, Switzerland)",36987076
OsICS1,1,1,,"Plants (Basel, Switzerland)",37896049
Bph45,1,1,,International journal of molecular sciences,36675314
osa-miR156,1,1,,International journal of molecular sciences,36835087
osa-miR156e,1,1,,International journal of molecular sciences,36835087
CH891TJH,1,1,,Genes,37239430
Basmati-1121,1,1,,PeerJ,37786579
OsCOIs,1,1,,The New phytologist,36869435
Pi1,1,1,,Plant physiology,36755501
R900,1,1,,Plant physiology,36755501
Y900,1,1,,Plant physiology,36755501
