theme,sentence_count,unique_pmids,earliest_year,latest_year,top_genes,representative_pmids
遗传定位、克隆与抗源部署,1251,280,1990,2025,Bph3;Bph15;Bph14;Bph6;Bph1;Bph9;Bph18;Bph26;Bph2;Bph32;Bph29;Bph17,39555011;39558244;39590466;39640406;39684676;39769161;39769594;39796027;39853648;39976729;40004225;40303855
生长防御权衡与农艺环境,486,242,1989,2025,Bph14;Bph3;Bph15;Bph9;Bph6;Bph2;Bph1;Bph27;Bph29;Bph18;Bph26;Bph38,39400920;39452319;39477626;39555011;39558244;39594043;39694421;39747314;39779696;39853648;40042898;40169387
韧皮部取食界面与结构防御,399,171,1998,2025,Bph6;Bph14;OsEXO70H3;OsNCED3;Bph3;Bph15;Bph30;Bph26;Bph1;OsLecRK1-mediated;Bph9;OsPAL8,39233440;39341852;39406243;39555011;39558244;39769594;39796027;39853648;40042898;40257666;40303855;9753773
宿主免疫、肽信号与昆虫效应子,595,152,2008,2025,OsMPKs;Bph1;Bph3;Bph14;Bph2;Bph15;OsPep3;OsGF14e;Bph6;Bph26;Bph9;OsLecRK3,38625904;39245936;39336620;39406243;39477594;39555011;39590459;39769161;39769594;39779696;39853648;40303855
激素、氧化还原与信号调控,567,139,2009,2025,OsNCED3;OsMPKs;OsLecRK1-mediated;OsMKK3;OsJMJ715;Bph3;Bph14;OsNCED3-OE;OsAOS1;OsWRKY45;OsAOS2;OsCslF6,38891303;38988632;39145425;39245936;39432737;39558244;39779696;39846346;39853648;39964588;40082317;40169387
次生代谢与挥发性防御,372,115,2011,2025,OsmiR396-OsGRF8-OsF3H-flavonoid;OsRCI-1-Mediated;OsRCI-1;OsmiR396;OsPAL8;OsF3H;Bph3;OsMPKs;OsPAL6;OsMYB30;OsmiR319-OsPCF5;OsSTPS2,38701348;38891303;38988632;39233440;39340817;39400920;39558244;39684676;39779696;39817336;40042898;40082317
病毒-媒介-水稻三方互作,128,84,2008,2025,Bph3;Bph6;Bph9;Bph14;Bph15;OsNPR1;OsRAR1;OsRLCK07;OsWRKY46;OsMYC3;OsJMJ715;OsCOI1,37779725;37789388;37888855;38106508;38450091;38488805;38562566;38911983;39245936;39555011;39769161;40303855
